日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-06,000001.SH,上证指数,4124.19,4111.97,4111.97,0.3,YES,1,1
2026-03-06,000905.SH,中证500,8360.33,8347.35,8347.35,0.16,YES,2,1
2026-03-06,000852.SH,中证1000,8248.86,8246.04,8246.04,0.03,YES,3,1
2026-03-06,399001.SZ,深证成指,14172.63,14178.5,14178.5,-0.04,NO,4,2
2026-03-06,000300.SH,沪深300,4660.44,4684.93,4684.93,-0.52,NO,5,2
2026-03-06,000016.SH,上证50,2992.7,3041.44,3041.44,-1.6,NO,6,2
2026-03-06,399006.SZ,创业板指,3229.3,3285.91,3285.91,-1.72,NO,7,2
2026-03-06,000688.SH,科创50,1414.39,1452.14,1452.14,-2.6,NO,8,2
