日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-19,000908.SH,中证2000,2911.6,2788.75,2788.75,4.41,YES,1,13
2026-03-19,399006.SZ,创业板指,3309.1,3291.06,3291.06,0.55,YES,2,2
2026-03-19,000300.SH,沪深300,4583.25,4672.91,4672.91,-1.92,NO,3,5
2026-03-19,399001.SZ,深证成指,13901.57,14239.81,14239.81,-2.38,NO,4,3
2026-03-19,000001.SH,上证指数,4006.55,4109.63,4109.63,-2.51,NO,5,5
2026-03-19,000016.SH,上证50,2916.23,2997.74,2997.74,-2.72,NO,6,13
2026-03-19,000985.SH,中证全指,6039.18,6248.92,6248.92,-3.36,NO,7,5
2026-03-19,000852.SH,中证1000,7909.23,8256.79,8256.79,-4.21,NO,8,5
2026-03-19,000905.SH,中证500,7877.09,8329.24,8329.24,-5.43,NO,9,6
2026-03-19,000688.SH,科创50,1339.03,1416.92,1416.92,-5.5,NO,10,13
2026-03-19,399998.SZ,中证煤炭,2453.45,2383.84,2383.84,2.92,YES,1,13
2026-03-19,000941.SH,新能源,2770.24,2761.56,2761.56,0.31,YES,2,9
2026-03-19,801735.SI,光伏设备,7505.59,7542.51,7542.51,-0.49,NO,3,1
2026-03-19,000922.SH,中证红利,5799.19,5845.68,5845.68,-0.8,NO,4,2
2026-03-19,931787.SH,港股创新药,1266.64,1297.54,1297.54,-2.38,NO,5,1
2026-03-19,399975.SZ,证券公司,773.14,798.3,798.3,-3.15,NO,6,13
2026-03-19,399989.SZ,中证医疗,6608.31,6841.66,6841.66,-3.41,NO,7,13
2026-03-19,801081.SI,半导体,7418.51,7703.98,7703.98,-3.71,NO,8,13
2026-03-19,931775.SH,房地产,2841.96,2973.75,2973.75,-4.43,NO,9,13
2026-03-19,801738.SI,电网设备,6741.32,7066.35,7066.35,-4.6,NO,10,3
2026-03-19,801741.SI,商业航天,34071.36,36702.91,36702.91,-7.17,NO,11,6
2026-03-19,000813.SH,细分化工,3985.58,4351.87,4351.87,-8.42,NO,12,4
2026-03-19,UDI,美元指数,99.19,98.84,98.84,0.35,YES,1,13
2026-03-19,SOXX,费城半导体,340.2,344.02,344.02,-1.11,NO,2,13
2026-03-19,NDX,纳斯达克,22090.69,22595.44,22595.44,-2.23,NO,3,13
2026-03-19,SGE-AU,黄金,1038.52,1133.02,1133.02,-8.34,NO,4,4
2026-03-19,SGE-AG,白银,17863.0,21012.1,21012.1,-14.99,NO,5,4
