日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-18,399006.SZ,创业板指,3346.37,3289.84,3289.84,1.72,YES,1,1
2026-03-18,000908.SH,中证2000,2795.07,2771.7,2771.7,0.84,YES,2,12
2026-03-18,000300.SH,沪深300,4658.33,4679.44,4679.44,-0.45,NO,3,4
2026-03-18,399001.SZ,深证成指,14187.8,14252.78,14252.78,-0.46,NO,4,2
2026-03-18,000001.SH,上证指数,4062.98,4115.91,4115.91,-1.29,NO,5,4
2026-03-18,000985.SH,中证全指,6169.42,6260.6,6260.6,-1.46,NO,6,4
2026-03-18,000016.SH,上证50,2961.43,3006.35,3006.35,-1.49,NO,7,12
2026-03-18,000852.SH,中证1000,8096.59,8273.31,8273.31,-2.14,NO,8,4
2026-03-18,000905.SH,中证500,8096.43,8351.67,8351.67,-3.06,NO,9,5
2026-03-18,000688.SH,科创50,1372.58,1422.73,1422.73,-3.52,NO,10,12
2026-03-18,000941.SH,新能源,2819.96,2758.72,2758.72,2.22,YES,1,8
2026-03-18,399998.SZ,中证煤炭,2403.53,2372.53,2372.53,1.31,YES,2,12
2026-03-18,801735.SI,光伏设备,7587.78,7547.89,7547.89,0.53,YES,3,8
2026-03-18,931787.SH,港股创新药,1304.43,1303.5,1303.5,0.07,YES,4,1
2026-03-18,000922.SH,中证红利,5833.4,5844.23,5844.23,-0.19,NO,5,1
2026-03-18,801738.SI,电网设备,6970.0,7052.83,7052.83,-1.17,NO,6,2
2026-03-18,801081.SI,半导体,7611.45,7719.55,7719.55,-1.4,NO,7,12
2026-03-18,399989.SZ,中证医疗,6741.75,6869.62,6869.62,-1.86,NO,8,12
2026-03-18,931775.SH,房地产,2921.82,2986.43,2986.43,-2.16,NO,9,12
2026-03-18,399975.SZ,证券公司,782.92,801.55,801.55,-2.32,NO,10,12
2026-03-18,000813.SH,细分化工,4171.39,4366.89,4366.89,-4.48,NO,11,3
2026-03-18,801741.SI,商业航天,34686.17,36812.57,36812.57,-5.78,NO,12,5
2026-03-18,UDI,美元指数,100.3,98.78,98.78,1.54,YES,1,12
2026-03-18,SOXX,费城半导体,338.29,344.8,344.8,-1.89,NO,2,12
2026-03-18,NDX,纳斯达克,22152.42,22625.04,22625.04,-2.09,NO,3,12
2026-03-18,SGE-AU,黄金,1061.35,1137.26,1137.26,-6.67,NO,4,3
2026-03-18,SGE-AG,白银,18141.0,21115.45,21115.45,-14.09,NO,5,3
