日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-10,000908.SH,中证2000,2803.88,2662.51,2662.51,5.31,YES,1,6
2026-03-10,399001.SZ,深证成指,14354.07,14198.06,14198.06,1.1,YES,2,1
2026-03-10,000852.SH,中证1000,8350.09,8262.23,8262.23,1.06,YES,3,1
2026-03-10,399006.SZ,创业板指,3306.14,3281.13,3281.13,0.76,YES,4,1
2026-03-10,000905.SH,中证500,8410.3,8361.46,8361.46,0.58,YES,5,1
2026-03-10,000985.SH,中证全指,6296.2,6262.73,6262.73,0.53,YES,6,1
2026-03-10,000001.SH,上证指数,4123.14,4116.27,4116.27,0.17,YES,7,1
2026-03-10,000300.SH,沪深300,4674.76,4683.82,4683.82,-0.19,NO,8,6
2026-03-10,000688.SH,科创50,1420.54,1444.68,1444.68,-1.67,NO,9,6
2026-03-10,000016.SH,上证50,2981.84,3035.2,3035.2,-1.76,NO,10,6
2026-03-10,801738.SI,电网设备,7571.14,6846.86,6846.86,10.58,YES,1,6
2026-03-10,399998.SZ,中证煤炭,2372.8,2280.16,2280.16,4.06,YES,2,6
2026-03-10,801741.SI,商业航天,38980.53,37530.85,37530.85,3.86,YES,3,5
2026-03-10,000941.SH,新能源,2770.49,2700.98,2700.98,2.57,YES,4,2
2026-03-10,000813.SH,细分化工,4355.65,4306.13,4306.13,1.15,YES,5,6
2026-03-10,801735.SI,光伏设备,7596.06,7515.09,7515.09,1.08,YES,6,2
2026-03-10,000922.SH,中证红利,5820.49,5775.33,5775.33,0.78,YES,7,6
2026-03-10,801081.SI,半导体,7729.92,7779.18,7779.18,-0.63,NO,8,6
2026-03-10,931787.SH,港股创新药,1306.37,1335.5,1335.5,-2.18,NO,9,6
2026-03-10,399989.SZ,中证医疗,6827.15,6985.44,6985.44,-2.27,NO,10,6
2026-03-10,931775.SH,房地产,2925.24,3037.11,3037.11,-3.68,NO,11,6
2026-03-10,399975.SZ,证券公司,787.1,817.21,817.21,-3.68,NO,12,6
2026-03-10,SGE-AG,白银,22177.0,21002.95,21002.95,5.59,YES,1,2
2026-03-10,SGE-AU,黄金,1149.92,1137.75,1137.75,1.07,YES,2,2
2026-03-10,UDI,美元指数,98.94,97.95,97.95,1.01,YES,3,6
2026-03-10,NDX,纳斯达克,22697.1,22750.3,22750.3,-0.23,NO,4,6
2026-03-10,SOXX,费城半导体,338.81,350.29,350.29,-3.28,NO,5,6
