日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-20,000688.SH,科创50,1832.02,1610.08,1610.08,13.78,YES,1,11
2026-05-20,399006.SZ,创业板指,3921.79,3802.6,3802.6,3.13,YES,2,11
2026-05-20,000852.SH,中证1000,8808.91,8581.05,8581.05,2.66,YES,3,11
2026-05-20,000905.SH,中证500,8656.31,8512.15,8512.15,1.69,YES,4,11
2026-05-20,000985.SH,中证全指,6525.06,6438.16,6438.16,1.35,YES,5,11
2026-05-20,399001.SZ,深证成指,15569.98,15381.06,15381.06,1.23,YES,6,11
2026-05-20,000001.SH,上证指数,4162.18,4140.51,4140.51,0.52,YES,7,11
2026-05-20,000300.SH,沪深300,4850.7,4844.33,4844.33,0.13,YES,8,11
2026-05-20,000016.SH,上证50,2953.75,2975.02,2975.02,-0.71,NO,9,4
2026-05-20,000908.SH,中证2000,2650.42,2675.33,2675.33,-0.93,NO,10,10
2026-05-20,801081.SI,半导体,10865.98,9228.51,9228.51,17.74,YES,1,1
2026-05-20,801735.SI,光伏设备,7629.41,7184.34,7184.34,6.2,YES,2,1
2026-05-20,801738.SI,电网设备,7079.72,6883.02,6883.02,2.86,YES,3,1
2026-05-20,000941.SH,新能源,2989.52,2940.02,2940.02,1.68,YES,4,2
2026-05-20,801750.SI,通信,5286.28,5264.14,5264.14,0.42,YES,5,1
2026-05-20,931775.SH,房地产,2830.01,2861.41,2861.41,-1.1,NO,6,3
2026-05-20,399998.SZ,中证煤炭,2364.77,2403.17,2403.17,-1.6,NO,7,1
2026-05-20,000922.SH,中证红利,5643.58,5759.26,5759.26,-2.01,NO,8,6
2026-05-20,399975.SZ,证券公司,738.09,753.78,753.78,-2.08,NO,9,5
2026-05-20,399989.SZ,中证医疗,6392.38,6642.05,6642.05,-3.76,NO,10,5
2026-05-20,000813.SH,细分化工,4072.67,4243.08,4243.08,-4.02,NO,11,5
2026-05-20,931787.SH,港股创新药,1221.03,1312.12,1312.12,-6.94,NO,12,20
2026-05-20,801741.SI,商业航天,35308.87,38488.45,38488.45,-8.26,NO,13,4
2026-05-20,COMP,纳斯达克,0.0,0.0,0.0,0.0,NO,1,5
2026-05-20,UUP,美元指数,0.0,0.0,0.0,0.0,NO,2,2
2026-05-20,SOXX,费城半导体,0.0,0.0,0.0,0.0,NO,3,2
2026-05-20,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,20
2026-05-20,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,5
