日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-22,000688.SH,科创50,1790.77,1643.97,1643.97,8.93,YES,1,13
2026-05-22,399006.SZ,创业板指,3938.5,3822.69,3822.69,3.03,YES,2,13
2026-05-22,399001.SZ,深证成指,15597.3,15425.84,15425.84,1.11,YES,3,1
2026-05-22,000852.SH,中证1000,8692.67,8605.76,8605.76,1.01,YES,4,1
2026-05-22,000905.SH,中证500,8576.94,8533.97,8533.97,0.5,YES,5,1
2026-05-22,000985.SH,中证全指,6479.37,6450.64,6450.64,0.45,YES,6,1
2026-05-22,000300.SH,沪深300,4845.1,4849.47,4849.47,-0.09,NO,7,2
2026-05-22,000001.SH,上证指数,4112.9,4141.65,4141.65,-0.69,NO,8,2
2026-05-22,000016.SH,上证50,2923.52,2973.95,2973.95,-1.7,NO,9,6
2026-05-22,000908.SH,中证2000,2546.77,2666.45,2666.45,-4.49,NO,10,12
2026-05-22,801081.SI,半导体,10637.59,9473.22,9473.22,12.29,YES,1,1
2026-05-22,801735.SI,光伏设备,7508.25,7219.47,7219.47,4.0,YES,2,1
2026-05-22,000941.SH,新能源,2963.04,2945.79,2945.79,0.59,YES,3,1
2026-05-22,801738.SI,电网设备,6881.65,6880.79,6880.79,0.01,YES,4,1
2026-05-22,801750.SI,通信,5157.95,5257.41,5257.41,-1.89,NO,5,2
2026-05-22,399975.SZ,证券公司,728.4,751.89,751.89,-3.12,NO,6,7
2026-05-22,000922.SH,中证红利,5545.14,5741.49,5741.49,-3.42,NO,7,8
2026-05-22,399989.SZ,中证医疗,6387.65,6620.29,6620.29,-3.51,NO,8,7
2026-05-22,931775.SH,房地产,2742.15,2856.52,2856.52,-4.0,NO,9,5
2026-05-22,000813.SH,细分化工,4030.49,4224.0,4224.0,-4.58,NO,10,7
2026-05-22,931787.SH,港股创新药,1234.93,1298.99,1298.99,-4.93,NO,11,22
2026-05-22,399998.SZ,中证煤炭,2267.09,2401.86,2401.86,-5.61,NO,12,3
2026-05-22,801741.SI,商业航天,34692.96,38077.85,38077.85,-8.89,NO,13,6
2026-05-22,SOXX,费城半导体,537.33,496.31,496.31,8.27,YES,1,1
2026-05-22,COMP,纳斯达克,8.4,8.06,8.06,4.25,YES,2,1
2026-05-22,UUP,美元指数,27.77,27.54,27.54,0.82,YES,3,1
2026-05-22,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,22
2026-05-22,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,7
