日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-08,000688.SH,科创50,1640.46,1467.3,1467.3,11.8,YES,1,3
2026-05-08,000905.SH,中证500,8694.17,8248.09,8248.09,5.41,YES,2,3
2026-05-08,000852.SH,中证1000,8741.15,8293.51,8293.51,5.4,YES,3,3
2026-05-08,399006.SZ,创业板指,3796.13,3624.93,3624.93,4.72,YES,4,3
2026-05-08,399001.SZ,深证成指,15563.8,14870.31,14870.31,4.66,YES,5,3
2026-05-08,000985.SH,中证全指,6532.34,6268.86,6268.86,4.2,YES,6,3
2026-05-08,000001.SH,上证指数,4179.95,4072.41,4072.41,2.64,YES,7,3
2026-05-08,000300.SH,沪深300,4871.91,4748.67,4748.67,2.6,YES,8,3
2026-05-08,000016.SH,上证50,3003.58,2943.54,2943.54,2.04,YES,9,3
2026-05-08,000908.SH,中证2000,2605.69,2710.0,2710.0,-3.85,NO,10,2
2026-05-08,801741.SI,商业航天,42439.43,36472.77,36472.77,16.36,YES,1,3
2026-05-08,801081.SI,半导体,9316.51,8245.28,8245.28,12.99,YES,2,3
2026-05-08,931775.SH,房地产,2963.74,2788.25,2788.25,6.29,YES,3,3
2026-05-08,801750.SI,通信,5430.55,5159.1,5159.1,5.26,YES,4,3
2026-05-08,801735.SI,光伏设备,7243.66,6958.54,6958.54,4.1,YES,5,3
2026-05-08,000941.SH,新能源,2973.84,2861.77,2861.77,3.92,YES,6,3
2026-05-08,801738.SI,电网设备,6850.44,6713.56,6713.56,2.04,YES,7,3
2026-05-08,399998.SZ,中证煤炭,2395.23,2370.53,2370.53,1.04,YES,8,3
2026-05-08,399975.SZ,证券公司,759.18,752.82,752.82,0.84,YES,9,3
2026-05-08,000813.SH,细分化工,4270.17,4256.39,4256.39,0.32,YES,10,3
2026-05-08,000922.SH,中证红利,5767.67,5758.97,5758.97,0.15,YES,11,3
2026-05-08,399989.SZ,中证医疗,6703.62,6695.03,6695.03,0.13,YES,12,3
2026-05-08,931787.SH,港股创新药,1326.57,1370.4,1370.4,-3.2,NO,13,12
2026-05-08,SOXX,费城半导体,520.3,446.32,446.32,16.58,YES,1,24
2026-05-08,COMP,纳斯达克,8.72,7.8,7.8,11.81,YES,2,3
2026-05-08,UUP,美元指数,27.34,27.42,27.42,-0.3,NO,3,3
2026-05-08,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,12
2026-05-08,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,1
