日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-08,000688.SH,科创50,1352.69,1318.7,1318.7,2.58,YES,1,8
2026-04-08,399006.SZ,创业板指,3347.61,3276.53,3276.53,2.17,YES,2,8
2026-04-08,399001.SZ,深证成指,14042.5,13833.37,13833.37,1.51,YES,3,8
2026-04-08,000852.SH,中证1000,7955.77,7847.74,7847.74,1.38,YES,4,8
2026-04-08,000905.SH,中证500,7945.15,7845.02,7845.02,1.28,YES,5,8
2026-04-08,000985.SH,中证全指,6059.75,5993.67,5993.67,1.1,YES,6,8
2026-04-08,000300.SH,沪深300,4595.56,4550.65,4550.65,0.99,YES,7,8
2026-04-08,000016.SH,上证50,2907.07,2884.87,2884.87,0.77,YES,8,8
2026-04-08,000001.SH,上证指数,3995.0,3969.84,3969.84,0.63,YES,9,8
2026-04-08,931787.SH,港股创新药,1393.25,1288.94,1288.94,8.09,YES,1,1
2026-04-08,801081.SI,半导体,7460.0,7244.76,7244.76,2.97,YES,2,8
2026-04-08,399989.SZ,中证医疗,6768.26,6607.3,6607.3,2.44,YES,3,1
2026-04-08,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,4,8
2026-04-08,000813.SH,细分化工,4172.12,4115.67,4115.67,1.37,YES,5,8
2026-04-08,000922.SH,中证红利,5723.65,5780.5,5780.5,-0.98,NO,6,1
2026-04-08,399975.SZ,证券公司,741.49,749.12,749.12,-1.02,NO,7,1
2026-04-08,801741.SI,商业航天,32892.18,33291.14,33291.14,-1.2,NO,8,1
2026-04-08,801738.SI,电网设备,6583.64,6720.33,6720.33,-2.03,NO,9,1
2026-04-08,931775.SH,房地产,2701.75,2778.18,2778.18,-2.75,NO,10,1
2026-04-08,399998.SZ,中证煤炭,2308.3,2423.18,2423.18,-4.74,NO,11,1
2026-04-08,000941.SH,新能源,2641.14,2782.2,2782.2,-5.07,NO,12,1
2026-04-08,801735.SI,光伏设备,6704.74,7359.43,7359.43,-8.9,NO,13,1
