日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-03,000908.SH,中证2000,2982.29,2562.32,2562.32,16.39,YES,1,1
2026-03-03,000001.SH,上证指数,4122.68,4118.66,4118.66,0.1,YES,2,1
2026-03-03,000300.SH,沪深300,4655.9,4698.27,4698.27,-0.9,NO,3,1
2026-03-03,000905.SH,中证500,8281.61,8384.83,8384.83,-1.23,NO,4,1
2026-03-03,000016.SH,上证50,3014.27,3054.87,3054.87,-1.33,NO,5,1
2026-03-03,000985.SH,中证全指,6188.09,6273.86,6273.86,-1.37,NO,6,1
2026-03-03,399001.SZ,深证成指,14022.39,14218.18,14218.18,-1.38,NO,7,1
2026-03-03,000852.SH,中证1000,8142.45,8276.03,8276.03,-1.61,NO,8,1
2026-03-03,399006.SZ,创业板指,3209.48,3303.92,3303.92,-2.86,NO,9,1
2026-03-03,000688.SH,科创50,1388.41,1473.0,1473.0,-5.74,NO,10,1
2026-03-03,399998.SZ,中证煤炭,2457.74,2207.47,2207.47,11.34,YES,1,1
2026-03-03,000922.SH,中证红利,5952.09,5726.11,5726.11,3.95,YES,2,1
2026-03-03,000813.SH,细分化工,4399.07,4263.86,4263.86,3.17,YES,3,1
2026-03-03,801738.SI,电网设备,6776.82,6585.46,6585.46,2.91,YES,4,1
2026-03-03,000941.SH,新能源,2662.34,2695.46,2695.46,-1.23,NO,5,1
2026-03-03,801735.SI,光伏设备,7398.22,7505.31,7505.31,-1.43,NO,6,1
2026-03-03,801741.SI,商业航天,36808.2,37542.16,37542.16,-1.96,NO,7,1
2026-03-03,399975.SZ,证券公司,802.32,830.66,830.66,-3.41,NO,8,1
2026-03-03,931775.SH,房地产,2930.32,3077.0,3077.0,-4.77,NO,9,1
2026-03-03,399989.SZ,中证医疗,6730.86,7080.38,7080.38,-4.94,NO,10,1
2026-03-03,801081.SI,半导体,7475.19,7921.9,7921.9,-5.64,NO,11,1
2026-03-03,801750.SI,通信,5225.38,5547.44,5547.44,-5.81,NO,12,1
2026-03-03,931787.SH,港股创新药,1238.91,1353.77,1353.77,-8.48,NO,13,1
2026-03-03,UUP,美元指数,27.46,27.03,27.03,1.6,YES,1,1
2026-03-03,SGE-AU,黄金,1151.26,1136.08,1136.08,1.34,YES,2,1
2026-03-03,SGE-AG,白银,21220.0,22040.0,22040.0,-3.72,NO,3,1
2026-03-03,SOXX,费城半导体,334.78,351.8,351.8,-4.84,NO,4,1
2026-03-03,COMP,纳斯达克,9.79,10.75,10.75,-8.9,NO,5,1
