日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-20,399006.SZ,创业板指,3352.1,3292.26,3292.26,1.82,YES,1,1
2026-03-20,000300.SH,沪深300,4567.02,4665.29,4665.29,-2.11,NO,2,2
2026-03-20,399001.SZ,深证成指,13866.2,14218.97,14218.97,-2.48,NO,3,2
2026-03-20,000016.SH,上证50,2883.86,2987.95,2987.95,-3.48,NO,4,2
2026-03-20,000001.SH,上证指数,3957.05,4100.79,4100.79,-3.51,NO,5,2
2026-03-20,000852.SH,中证1000,7783.43,8230.22,8230.22,-5.43,NO,6,2
2026-03-20,000688.SH,科创50,1318.31,1408.79,1408.79,-6.42,NO,7,2
2026-03-20,000905.SH,中证500,7760.04,8296.06,8296.06,-6.46,NO,8,2
