日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-16,000908.SH,中证2000,2861.28,2744.07,2744.07,4.27,YES,1,10
2026-03-16,399006.SZ,创业板指,3357.02,3291.19,3291.19,2.0,YES,2,5
2026-03-16,399001.SZ,深证成指,14307.58,14262.36,14262.36,0.32,YES,3,5
2026-03-16,000300.SH,沪深300,4671.56,4686.82,4686.82,-0.33,NO,4,2
2026-03-16,000985.SH,中证全指,6217.07,6274.24,6274.24,-0.91,NO,5,2
2026-03-16,000001.SH,上证指数,4084.79,4122.83,4122.83,-0.92,NO,6,2
2026-03-16,000852.SH,中证1000,8211.35,8291.69,8291.69,-0.97,NO,7,2
2026-03-16,000016.SH,上证50,2954.09,3018.56,3018.56,-2.14,NO,8,10
2026-03-16,000905.SH,中证500,8185.15,8376.94,8376.94,-2.29,NO,9,3
2026-03-16,000688.SH,科创50,1384.99,1432.87,1432.87,-3.34,NO,10,10
2026-03-16,000941.SH,新能源,2897.12,2747.8,2747.8,5.43,YES,1,6
2026-03-16,399998.SZ,中证煤炭,2471.94,2349.99,2349.99,5.19,YES,2,10
2026-03-16,801735.SI,光伏设备,7704.33,7564.69,7564.69,1.85,YES,3,6
2026-03-16,000922.SH,中证红利,5912.37,5831.09,5831.09,1.39,YES,4,10
2026-03-16,801738.SI,电网设备,7021.83,7011.16,7011.16,0.15,YES,5,10
2026-03-16,801081.SI,半导体,7627.79,7750.29,7750.29,-1.58,NO,6,10
2026-03-16,000813.SH,细分化工,4295.4,4367.88,4367.88,-1.66,NO,7,1
2026-03-16,931775.SH,房地产,2945.71,3004.63,3004.63,-1.96,NO,8,10
2026-03-16,399989.SZ,中证医疗,6751.27,6914.17,6914.17,-2.36,NO,9,10
2026-03-16,801750.SI,通信,5323.44,5466.82,5466.82,-2.62,NO,10,3
2026-03-16,931787.SH,港股创新药,1275.88,1312.81,1312.81,-2.81,NO,11,10
2026-03-16,399975.SZ,证券公司,777.67,807.19,807.19,-3.66,NO,12,10
2026-03-16,801741.SI,商业航天,34467.01,37140.24,37140.24,-7.2,NO,13,3
2026-03-16,UUP,美元指数,27.73,27.33,27.33,1.47,YES,1,10
2026-03-16,SGE-AU,黄金,1114.86,1140.76,1140.76,-2.27,NO,2,3
2026-03-16,SOXX,费城半导体,337.83,346.47,346.47,-2.49,NO,3,10
2026-03-16,SGE-AG,白银,20351.0,21160.7,21160.7,-3.83,NO,4,2
2026-03-16,COMP,纳斯达克,8.22,9.37,9.37,-12.32,NO,5,10
