日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-21,399006.SZ,创业板指,3688.94,3383.32,3383.32,9.03,YES,1,8
2026-04-21,399001.SZ,深证成指,14982.14,14069.03,14069.03,6.49,YES,2,8
2026-04-21,000688.SH,科创50,1426.68,1340.15,1340.15,6.46,YES,3,8
2026-04-21,000852.SH,中证1000,8351.16,7902.85,7902.85,5.67,YES,4,8
2026-04-21,000905.SH,中证500,8270.33,7872.27,7872.27,5.06,YES,5,8
2026-04-21,000985.SH,中证全指,6297.91,6023.3,6023.3,4.56,YES,6,8
2026-04-21,000300.SH,沪深300,4768.0,4582.12,4582.12,4.06,YES,7,8
2026-04-21,000001.SH,上证指数,4085.08,3966.66,3966.66,2.99,YES,8,8
2026-04-21,000016.SH,上证50,2932.07,2878.53,2878.53,1.86,YES,9,8
2026-04-21,801741.SI,商业航天,39126.09,33417.97,33417.97,17.08,YES,1,8
2026-04-21,801081.SI,半导体,8001.71,7426.69,7426.69,7.74,YES,2,8
2026-04-21,000941.SH,新能源,2907.8,2759.31,2759.31,5.38,YES,3,8
2026-04-21,931787.SH,港股创新药,1407.81,1349.57,1349.57,4.32,YES,4,1
2026-04-21,801738.SI,电网设备,6819.89,6587.65,6587.65,3.53,YES,5,8
2026-04-21,000813.SH,细分化工,4215.97,4111.56,4111.56,2.54,YES,6,8
2026-04-21,931775.SH,房地产,2784.15,2718.72,2718.72,2.41,YES,7,8
2026-04-21,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,8,8
2026-04-21,399975.SZ,证券公司,749.88,739.25,739.25,1.44,YES,9,8
2026-04-21,801735.SI,光伏设备,7085.67,6998.07,6998.07,1.25,YES,10,8
2026-04-21,000922.SH,中证红利,5752.84,5716.43,5716.43,0.64,YES,11,8
2026-04-21,399989.SZ,中证医疗,6624.84,6622.11,6622.11,0.04,YES,12,1
2026-04-21,399998.SZ,中证煤炭,2319.25,2344.2,2344.2,-1.06,NO,13,1
