日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-12,000908.SH,中证2000,2942.18,2706.32,2706.32,8.72,YES,1,8
2026-03-12,399006.SZ,创业板指,3317.52,3282.66,3282.66,1.06,YES,2,3
2026-03-12,399001.SZ,深证成指,14374.87,14225.91,14225.91,1.05,YES,3,3
2026-03-12,000852.SH,中证1000,8335.91,8276.39,8276.39,0.72,YES,4,3
2026-03-12,000001.SH,上证指数,4129.1,4120.9,4120.9,0.2,YES,5,3
2026-03-12,000985.SH,中证全指,6279.68,6269.24,6269.24,0.17,YES,6,3
2026-03-12,000300.SH,沪深300,4687.56,4685.49,4685.49,0.04,YES,7,2
2026-03-12,000905.SH,中证500,8359.47,8370.32,8370.32,-0.13,NO,8,1
2026-03-12,000016.SH,上证50,2971.56,3027.86,3027.86,-1.86,NO,9,8
2026-03-12,000688.SH,科创50,1383.65,1437.69,1437.69,-3.76,NO,10,8
2026-03-12,399998.SZ,中证煤炭,2560.3,2316.45,2316.45,10.53,YES,1,8
2026-03-12,000941.SH,新能源,2917.28,2721.07,2721.07,7.21,YES,2,4
2026-03-12,801738.SI,电网设备,7379.68,6934.39,6934.39,6.42,YES,3,8
2026-03-12,801735.SI,光伏设备,7889.63,7530.99,7530.99,4.76,YES,4,4
2026-03-12,000922.SH,中证红利,5976.53,5805.63,5805.63,2.94,YES,5,8
2026-03-12,000813.SH,细分化工,4464.2,4340.27,4340.27,2.86,YES,6,8
2026-03-12,801750.SI,通信,5458.6,5476.06,5476.06,-0.32,NO,7,1
2026-03-12,801741.SI,商业航天,36943.86,37386.67,37386.67,-1.18,NO,8,1
2026-03-12,399989.SZ,中证医疗,6762.95,6953.47,6953.47,-2.74,NO,9,8
2026-03-12,399975.SZ,证券公司,787.85,812.9,812.9,-3.08,NO,10,8
2026-03-12,801081.SI,半导体,7515.1,7755.8,7755.8,-3.1,NO,11,8
2026-03-12,931775.SH,房地产,2927.43,3021.61,3021.61,-3.12,NO,12,8
2026-03-12,931787.SH,港股创新药,1262.4,1327.81,1327.81,-4.93,NO,13,8
2026-03-12,UUP,美元指数,27.68,27.23,27.23,1.65,YES,1,8
2026-03-12,SGE-AG,白银,21036.0,21034.15,21034.15,0.01,YES,2,4
2026-03-12,SGE-AU,黄金,1131.73,1139.64,1139.64,-0.69,NO,3,1
2026-03-12,SOXX,费城半导体,330.19,348.32,348.32,-5.21,NO,4,8
2026-03-12,COMP,纳斯达克,8.09,9.59,9.59,-15.61,NO,5,8
