日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-10,399006.SZ,创业板指,3448.79,3281.78,3281.78,5.09,YES,1,3
2026-04-10,000688.SH,科创50,1364.49,1314.89,1314.89,3.77,YES,2,3
2026-04-10,399001.SZ,深证成指,14309.47,13806.64,13806.64,3.64,YES,3,3
2026-04-10,000852.SH,中证1000,7998.23,7808.75,7808.75,2.43,YES,4,3
2026-04-10,000905.SH,中证500,7969.36,7800.28,7800.28,2.17,YES,5,3
2026-04-10,000300.SH,沪深300,4636.57,4541.19,4541.19,2.1,YES,6,3
2026-04-10,000985.SH,中证全指,6090.06,5969.55,5969.55,2.02,YES,7,3
2026-04-10,000001.SH,上证指数,3986.22,3954.33,3954.33,0.81,YES,8,3
2026-04-10,000016.SH,上证50,2899.58,2876.24,2876.24,0.81,YES,9,3
2026-04-10,000908.SH,中证2000,2724.38,2814.29,2814.29,-3.19,NO,10,12
2026-04-10,931787.SH,港股创新药,1394.07,1299.42,1299.42,7.28,YES,1,3
2026-04-10,801081.SI,半导体,7614.14,7242.09,7242.09,5.14,YES,2,3
2026-04-10,000813.SH,细分化工,4211.27,4089.06,4089.06,2.99,YES,3,3
2026-04-10,399989.SZ,中证医疗,6752.98,6599.59,6599.59,2.32,YES,4,3
2026-04-10,399975.SZ,证券公司,750.96,744.08,744.08,0.93,YES,5,1
2026-04-10,801750.SI,通信,5011.25,4987.84,4987.84,0.47,YES,6,1
2026-04-10,000941.SH,新能源,2740.7,2760.0,2760.0,-0.7,NO,7,8
2026-04-10,801738.SI,电网设备,6569.84,6630.28,6630.28,-0.91,NO,8,18
2026-04-10,000922.SH,中证红利,5692.53,5755.06,5755.06,-1.09,NO,9,17
2026-04-10,801741.SI,商业航天,32275.4,32769.73,32769.73,-1.51,NO,10,21
2026-04-10,931775.SH,房地产,2687.0,2752.42,2752.42,-2.38,NO,11,28
2026-04-10,399998.SZ,中证煤炭,2296.66,2402.74,2402.74,-4.41,NO,12,9
2026-04-10,801735.SI,光伏设备,6771.39,7239.83,7239.83,-6.47,NO,13,11
2026-04-10,SOXX,费城半导体,386.6,341.98,341.98,13.05,YES,1,4
2026-04-10,UUP,美元指数,27.44,27.72,27.72,-1.0,NO,2,3
2026-04-10,COMP,纳斯达克,7.14,7.59,7.59,-5.98,NO,3,28
2026-04-10,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,1
2026-04-10,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,1
