日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-07,000688.SH,科创50,1678.89,1448.97,1448.97,15.87,YES,1,2
2026-05-07,399006.SZ,创业板指,3833.06,3593.17,3593.17,6.68,YES,2,2
2026-05-07,000905.SH,中证500,8696.8,8191.93,8191.93,6.16,YES,3,2
2026-05-07,399001.SZ,深证成指,15641.89,14762.14,14762.14,5.96,YES,4,2
2026-05-07,000852.SH,中证1000,8714.51,8236.75,8236.75,5.8,YES,5,2
2026-05-07,000985.SH,中证全指,6533.33,6233.38,6233.38,4.81,YES,6,2
2026-05-07,000300.SH,沪深300,4900.51,4727.11,4727.11,3.67,YES,7,2
2026-05-07,000016.SH,上证50,3029.19,2934.89,2934.89,3.21,YES,8,2
2026-05-07,000001.SH,上证指数,4180.09,4057.92,4057.92,3.01,YES,9,2
2026-05-07,000908.SH,中证2000,2629.87,2721.14,2721.14,-3.35,NO,10,1
2026-05-07,801081.SI,半导体,9513.39,8130.05,8130.05,17.02,YES,1,2
2026-05-07,801741.SI,商业航天,39716.13,35894.98,35894.98,10.65,YES,2,2
2026-05-07,000941.SH,新能源,3023.28,2840.77,2840.77,6.42,YES,3,2
2026-05-07,931775.SH,房地产,2932.45,2770.21,2770.21,5.86,YES,4,2
2026-05-07,801750.SI,通信,5405.66,5124.18,5124.18,5.49,YES,5,2
2026-05-07,801735.SI,光伏设备,7236.89,6918.49,6918.49,4.6,YES,6,2
2026-05-07,801738.SI,电网设备,6917.83,6684.18,6684.18,3.5,YES,7,2
2026-05-07,399998.SZ,中证煤炭,2421.44,2368.54,2368.54,2.23,YES,8,2
2026-05-07,000813.SH,细分化工,4338.24,4247.88,4247.88,2.13,YES,9,2
2026-05-07,399975.SZ,证券公司,764.97,750.53,750.53,1.92,YES,10,2
2026-05-07,399989.SZ,中证医疗,6732.37,6690.11,6690.11,0.63,YES,11,2
2026-05-07,000922.SH,中证红利,5787.2,5754.49,5754.49,0.57,YES,12,2
2026-05-07,931787.SH,港股创新药,1351.04,1373.24,1373.24,-1.62,NO,13,11
2026-05-07,COMP,纳斯达克,8.74,7.72,7.72,13.21,YES,1,2
2026-05-07,SOXX,费城半导体,492.36,439.63,439.63,11.99,YES,2,23
2026-05-07,SGE-AG,白银,19839.0,18971.25,18971.25,4.57,YES,3,3
2026-05-07,UUP,美元指数,27.41,27.43,27.43,-0.06,NO,4,2
2026-05-07,SGE-AU,黄金,1036.11,1040.23,1040.23,-0.4,NO,5,11
