日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-13,000908.SH,中证2000,2895.71,2726.59,2726.59,6.2,YES,1,9
2026-03-13,399006.SZ,创业板指,3310.28,3285.16,3285.16,0.76,YES,2,4
2026-03-13,399001.SZ,深证成指,14280.78,14242.31,14242.31,0.27,YES,3,4
2026-03-13,000300.SH,沪深300,4669.14,4685.42,4685.42,-0.35,NO,4,1
2026-03-13,000001.SH,上证指数,4095.45,4121.87,4121.87,-0.64,NO,5,1
2026-03-13,000985.SH,中证全指,6220.66,6271.47,6271.47,-0.81,NO,6,1
2026-03-13,000852.SH,中证1000,8214.29,8283.7,8283.7,-0.84,NO,7,1
2026-03-13,000905.SH,中证500,8239.8,8375.0,8375.0,-1.61,NO,8,2
2026-03-13,000016.SH,上证50,2956.85,3022.75,3022.75,-2.18,NO,9,9
2026-03-13,000688.SH,科创50,1373.64,1434.75,1434.75,-4.26,NO,10,9
2026-03-13,399998.SZ,中证煤炭,2535.79,2334.64,2334.64,8.62,YES,1,9
2026-03-13,000941.SH,新能源,2923.73,2735.98,2735.98,6.86,YES,2,5
2026-03-13,801735.SI,光伏设备,7850.06,7552.82,7552.82,3.94,YES,3,5
2026-03-13,801738.SI,电网设备,7151.45,6976.71,6976.71,2.5,YES,4,9
2026-03-13,000922.SH,中证红利,5954.46,5819.02,5819.02,2.33,YES,5,9
2026-03-13,000813.SH,细分化工,4447.69,4360.39,4360.39,2.0,YES,6,9
2026-03-13,399989.SZ,中证医疗,6753.08,6932.56,6932.56,-2.59,NO,7,9
2026-03-13,931775.SH,房地产,2925.77,3011.67,3011.67,-2.85,NO,8,9
2026-03-13,399975.SZ,证券公司,781.35,809.98,809.98,-3.53,NO,9,9
2026-03-13,801081.SI,半导体,7441.9,7746.41,7746.41,-3.93,NO,10,9
2026-03-13,801741.SI,商业航天,35303.86,37268.71,37268.71,-5.27,NO,11,2
2026-03-13,931787.SH,港股创新药,1241.98,1319.67,1319.67,-5.89,NO,12,9
2026-03-13,UDI,美元指数,100.5,98.39,98.39,2.15,YES,1,9
2026-03-13,NDX,纳斯达克,22105.36,22668.67,22668.67,-2.48,NO,2,9
2026-03-13,SOXX,费城半导体,331.32,347.32,347.32,-4.61,NO,3,9
