日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-21,000688.SH,科创50,1764.17,1625.76,1625.76,8.51,YES,1,12
2026-05-21,399006.SZ,创业板指,3829.78,3810.21,3810.21,0.51,YES,2,12
2026-05-21,000852.SH,中证1000,8510.5,8588.68,8588.68,-0.91,NO,3,1
2026-05-21,399001.SZ,深证成指,15247.27,15395.08,15395.08,-0.96,NO,4,1
2026-05-21,000985.SH,中证全指,6368.44,6441.57,6441.57,-1.14,NO,5,1
2026-05-21,000905.SH,中证500,8419.84,8518.64,8518.64,-1.16,NO,6,1
2026-05-21,000300.SH,沪深300,4783.1,4845.61,4845.61,-1.29,NO,7,1
2026-05-21,000001.SH,上证指数,4077.28,4140.26,4140.26,-1.52,NO,8,1
2026-05-21,000016.SH,上证50,2920.93,2974.38,2974.38,-1.8,NO,9,5
2026-05-21,000908.SH,中证2000,2577.36,2672.57,2672.57,-3.56,NO,10,11
2026-05-21,000941.SH,新能源,2923.96,2943.03,2943.03,-0.65,NO,1,1
2026-05-21,399975.SZ,证券公司,739.57,752.97,752.97,-1.78,NO,2,6
2026-05-21,399989.SZ,中证医疗,6459.85,6632.15,6632.15,-2.6,NO,3,6
2026-05-21,000922.SH,中证红利,5554.67,5751.87,5751.87,-3.43,NO,4,7
2026-05-21,931775.SH,房地产,2729.22,2858.62,2858.62,-4.53,NO,5,4
2026-05-21,399998.SZ,中证煤炭,2287.99,2404.47,2404.47,-4.84,NO,6,2
2026-05-21,000813.SH,细分化工,3967.75,4233.28,4233.28,-6.27,NO,7,6
2026-05-21,801081.SI,半导体,0.0,0.0,0.0,0.0,NO,8,1
2026-05-21,801741.SI,商业航天,0.0,0.0,0.0,0.0,NO,9,5
2026-05-21,801738.SI,电网设备,0.0,0.0,0.0,0.0,NO,10,1
2026-05-21,801750.SI,通信,0.0,0.0,0.0,0.0,NO,11,1
2026-05-21,801735.SI,光伏设备,0.0,0.0,0.0,0.0,NO,12,1
2026-05-21,931787.SH,港股创新药,0.0,0.0,0.0,0.0,NO,13,21
2026-05-21,COMP,纳斯达克,0.0,0.0,0.0,0.0,NO,1,6
2026-05-21,UUP,美元指数,0.0,0.0,0.0,0.0,NO,2,3
2026-05-21,SOXX,费城半导体,0.0,0.0,0.0,0.0,NO,3,3
2026-05-21,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,21
2026-05-21,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,6
