日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-23,000908.SH,中证2000,2904.15,2823.12,2823.12,2.87,YES,1,15
2026-03-23,399006.SZ,创业板指,3235.22,3290.23,3290.23,-1.67,NO,2,1
2026-03-23,000300.SH,沪深300,4418.0,4653.16,4653.16,-5.05,NO,3,7
2026-03-23,399001.SZ,深证成指,13345.51,14181.24,14181.24,-5.89,NO,4,5
2026-03-23,000016.SH,上证50,2792.33,2975.85,2975.85,-6.17,NO,5,15
2026-03-23,000001.SH,上证指数,3813.28,4087.35,4087.35,-6.71,NO,6,7
2026-03-23,000985.SH,中证全指,5723.41,6207.01,6207.01,-7.79,NO,7,7
2026-03-23,000852.SH,中证1000,7409.11,8190.44,8190.44,-9.54,NO,8,7
2026-03-23,000688.SH,科创50,1261.44,1398.35,1398.35,-9.79,NO,9,15
2026-03-23,000905.SH,中证500,7440.75,8253.12,8253.12,-9.84,NO,10,8
2026-03-23,399998.SZ,中证煤炭,2479.76,2409.17,2409.17,2.93,YES,1,15
2026-03-23,801735.SI,光伏设备,7694.92,7566.77,7566.77,1.69,YES,2,2
2026-03-23,000941.SH,新能源,2813.09,2773.14,2773.14,1.44,YES,3,11
2026-03-23,000922.SH,中证红利,5626.12,5844.63,5844.63,-3.74,NO,4,4
2026-03-23,931787.SH,港股创新药,1196.69,1278.47,1278.47,-6.4,NO,5,3
2026-03-23,399975.SZ,证券公司,728.75,789.92,789.92,-7.74,NO,6,15
2026-03-23,399989.SZ,中证医疗,6195.82,6766.93,6766.93,-8.44,NO,7,15
2026-03-23,801738.SI,电网设备,6448.7,7057.46,7057.46,-8.63,NO,8,5
2026-03-23,801081.SI,半导体,6925.69,7623.92,7623.92,-9.16,NO,9,15
2026-03-23,931775.SH,房地产,2656.41,2939.44,2939.44,-9.63,NO,10,15
2026-03-23,000813.SH,细分化工,3883.21,4318.6,4318.6,-10.08,NO,11,6
2026-03-23,801750.SI,通信,4792.67,5350.8,5350.8,-10.43,NO,12,8
2026-03-23,801741.SI,商业航天,31717.53,36399.2,36399.2,-12.86,NO,13,8
2026-03-23,UUP,美元指数,27.56,27.48,27.48,0.29,YES,1,15
2026-03-23,SOXX,费城半导体,336.59,341.66,341.66,-1.48,NO,2,15
2026-03-23,COMP,纳斯达克,8.47,8.91,8.91,-4.89,NO,3,15
2026-03-23,SGE-AU,黄金,977.02,1116.23,1116.23,-12.47,NO,4,8
2026-03-23,SGE-AG,白银,17025.0,20622.8,20622.8,-17.45,NO,5,7
