日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-18,000688.SH,科创50,1709.96,1572.0,1572.0,8.78,YES,1,9
2026-05-18,399006.SZ,创业板指,3914.88,3776.32,3776.32,3.67,YES,2,9
2026-05-18,000852.SH,中证1000,8720.21,8527.19,8527.19,2.26,YES,3,9
2026-05-18,399001.SZ,深证成指,15530.23,15308.15,15308.15,1.45,YES,4,9
2026-05-18,000985.SH,中证全指,6477.21,6410.29,6410.29,1.04,YES,5,9
2026-05-18,000905.SH,中证500,8554.24,8467.65,8467.65,1.02,YES,6,9
2026-05-18,000001.SH,上证指数,4131.53,4129.27,4129.27,0.05,YES,7,9
2026-05-18,000300.SH,沪深300,4833.52,4832.42,4832.42,0.02,YES,8,9
2026-05-18,000908.SH,中证2000,2651.69,2676.18,2676.18,-0.92,NO,9,8
2026-05-18,000016.SH,上证50,2934.96,2972.16,2972.16,-1.25,NO,10,2
2026-05-18,801081.SI,半导体,10109.26,8961.61,8961.61,12.81,YES,1,9
2026-05-18,801735.SI,光伏设备,7307.73,7130.06,7130.06,2.49,YES,2,9
2026-05-18,801738.SI,电网设备,6936.05,6849.49,6849.49,1.26,YES,3,9
2026-05-18,399998.SZ,中证煤炭,2411.19,2393.05,2393.05,0.76,YES,4,1
2026-05-18,801750.SI,通信,5268.56,5249.18,5249.18,0.37,YES,5,1
2026-05-18,000941.SH,新能源,2924.19,2929.0,2929.0,-0.16,NO,6,1
2026-05-18,931775.SH,房地产,2829.72,2855.12,2855.12,-0.89,NO,7,1
2026-05-18,000922.SH,中证红利,5654.2,5765.46,5765.46,-1.93,NO,8,4
2026-05-18,399975.SZ,证券公司,735.75,755.53,755.53,-2.62,NO,9,3
2026-05-18,801741.SI,商业航天,37339.99,38439.72,38439.72,-2.86,NO,10,2
2026-05-18,399989.SZ,中证医疗,6413.74,6665.25,6665.25,-3.77,NO,11,3
2026-05-18,000813.SH,细分化工,4072.39,4257.22,4257.22,-4.34,NO,12,3
2026-05-18,931787.SH,港股创新药,1221.5,1331.57,1331.57,-8.27,NO,13,18
2026-05-18,SOXX,费城半导体,495.87,480.11,480.11,3.28,YES,1,30
2026-05-18,UUP,美元指数,27.7,27.49,27.49,0.76,YES,2,5
2026-05-18,COMP,纳斯达克,7.91,7.99,7.99,-0.96,NO,3,3
2026-05-18,SGE-AU,黄金,0.0,0.0,0.0,0.0,NO,4,18
2026-05-18,SGE-AG,白银,0.0,0.0,0.0,0.0,NO,5,3
