日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-29,000688.SH,科创50,1493.5,1394.46,1394.46,7.1,YES,1,16
2026-04-29,399006.SZ,创业板指,3687.17,3507.24,3507.24,5.13,YES,2,16
2026-04-29,399001.SZ,深证成指,15120.92,14479.0,14479.0,4.43,YES,3,16
2026-04-29,000905.SH,中证500,8342.42,8054.71,8054.71,3.57,YES,4,16
2026-04-29,000908.SH,中证2000,2812.9,2726.6,2726.6,3.17,YES,5,2
2026-04-29,000852.SH,中证1000,8343.07,8099.41,8099.41,3.01,YES,6,16
2026-04-29,000300.SH,沪深300,4810.35,4670.15,4670.15,3.0,YES,7,16
2026-04-29,000985.SH,中证全指,6328.36,6146.25,6146.25,2.96,YES,8,16
2026-04-29,000001.SH,上证指数,4107.51,4022.7,4022.7,2.11,YES,9,16
2026-04-29,000016.SH,上证50,2967.5,2910.98,2910.98,1.94,YES,10,16
2026-04-29,801081.SI,半导体,8450.31,7790.93,7790.93,8.46,YES,1,16
2026-04-29,399998.SZ,中证煤炭,2538.56,2342.66,2342.66,8.36,YES,2,5
2026-04-29,000941.SH,新能源,2949.97,2784.18,2784.18,5.95,YES,3,13
2026-04-29,000813.SH,细分化工,4437.93,4188.68,4188.68,5.95,YES,4,16
2026-04-29,801741.SI,商业航天,36435.18,34838.86,34838.86,4.58,YES,5,12
2026-04-29,931775.SH,房地产,2821.58,2732.27,2732.27,3.27,YES,6,12
2026-04-29,000922.SH,中证红利,5884.27,5734.05,5734.05,2.62,YES,7,7
2026-04-29,801735.SI,光伏设备,6949.6,6846.41,6846.41,1.51,YES,8,1
2026-04-29,399975.SZ,证券公司,755.27,744.53,744.53,1.44,YES,9,14
2026-04-29,801750.SI,通信,5103.51,5052.36,5052.36,1.01,YES,10,14
2026-04-29,399989.SZ,中证医疗,6744.5,6691.8,6691.8,0.79,YES,11,2
2026-04-29,801738.SI,电网设备,6667.64,6629.16,6629.16,0.58,YES,12,1
2026-04-29,931787.SH,港股创新药,1333.64,1379.99,1379.99,-3.36,NO,13,5
2026-04-29,SOXX,费城半导体,449.99,402.02,402.02,11.93,YES,1,17
2026-04-29,COMP,纳斯达克,7.62,7.48,7.48,1.91,YES,2,9
2026-04-29,UUP,美元指数,27.61,27.51,27.51,0.36,YES,3,2
2026-04-29,SGE-AU,黄金,1013.36,1039.39,1039.39,-2.5,NO,4,5
2026-04-29,SGE-AG,白银,17954.0,18725.15,18725.15,-4.12,NO,5,5
