日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-09,000908.SH,中证2000,2951.11,2643.57,2643.57,11.63,YES,1,5
2026-03-09,000001.SH,上证指数,4096.6,4110.9,4110.9,-0.35,NO,2,1
2026-03-09,000852.SH,中证1000,8203.87,8243.5,8243.5,-0.48,NO,3,1
2026-03-09,399001.SZ,深证成指,14067.5,14171.58,14171.58,-0.73,NO,4,5
2026-03-09,000905.SH,中证500,8279.48,8342.8,8342.8,-0.76,NO,5,1
2026-03-09,000985.SH,中证全指,6199.43,6252.34,6252.34,-0.85,NO,6,5
2026-03-09,000300.SH,沪深300,4615.46,4680.38,4680.38,-1.39,NO,7,5
2026-03-09,399006.SZ,创业板指,3208.58,3279.03,3279.03,-2.15,NO,8,5
2026-03-09,000016.SH,上证50,2962.99,3036.27,3036.27,-2.41,NO,9,5
2026-03-09,000688.SH,科创50,1390.48,1446.2,1446.2,-3.85,NO,10,5
2026-03-09,801738.SI,电网设备,7581.32,6784.99,6784.99,11.74,YES,1,5
2026-03-09,399998.SZ,中证煤炭,2453.68,2263.34,2263.34,8.41,YES,2,5
2026-03-09,000813.SH,细分化工,4388.39,4286.92,4286.92,2.37,YES,3,5
2026-03-09,801741.SI,商业航天,38227.99,37446.89,37446.89,2.09,YES,4,4
2026-03-09,000922.SH,中证红利,5864.51,5760.4,5760.4,1.81,YES,5,5
2026-03-09,000941.SH,新能源,2720.52,2692.71,2692.71,1.03,YES,6,1
2026-03-09,801735.SI,光伏设备,7494.95,7491.29,7491.29,0.05,YES,7,1
2026-03-09,801750.SI,通信,5446.59,5476.35,5476.35,-0.54,NO,8,5
2026-03-09,801081.SI,半导体,7506.11,7780.13,7780.13,-3.52,NO,9,5
2026-03-09,399989.SZ,中证医疗,6711.5,6990.68,6990.68,-3.99,NO,10,5
2026-03-09,399975.SZ,证券公司,780.95,819.23,819.23,-4.67,NO,11,5
2026-03-09,931775.SH,房地产,2896.86,3039.83,3039.83,-4.7,NO,12,5
2026-03-09,931787.SH,港股创新药,1261.29,1337.19,1337.19,-5.68,NO,13,5
2026-03-09,SGE-AG,白银,22397.0,20941.1,20941.1,6.95,YES,1,1
2026-03-09,UUP,美元指数,27.46,27.12,27.12,1.27,YES,2,5
2026-03-09,SGE-AU,黄金,1147.94,1134.75,1134.75,1.16,YES,3,1
2026-03-09,SOXX,费城半导体,336.37,350.99,350.99,-4.17,NO,4,5
2026-03-09,COMP,纳斯达克,9.0,10.15,10.15,-11.34,NO,5,5
