日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-27,000688.SH,科创50,1508.38,1372.65,1372.65,9.89,YES,1,14
2026-04-27,399006.SZ,创业板指,3648.79,3465.96,3465.96,5.28,YES,2,14
2026-04-27,399001.SZ,深证成指,14995.75,14341.65,14341.65,4.56,YES,3,14
2026-04-27,000905.SH,中证500,8299.05,7995.95,7995.95,3.79,YES,4,14
2026-04-27,000852.SH,中证1000,8338.73,8040.31,8040.31,3.71,YES,5,14
2026-04-27,000985.SH,中证全指,6296.45,6105.87,6105.87,3.12,YES,6,14
2026-04-27,000300.SH,沪深300,4770.95,4638.82,4638.82,2.85,YES,7,14
2026-04-27,000001.SH,上证指数,4086.34,4004.15,4004.15,2.05,YES,8,14
2026-04-27,000016.SH,上证50,2939.05,2898.05,2898.05,1.41,YES,9,14
2026-04-27,000908.SH,中证2000,2722.78,2727.08,2727.08,-0.16,NO,10,1
2026-04-27,801081.SI,半导体,8542.93,7647.98,7647.98,11.7,YES,1,14
2026-04-27,801741.SI,商业航天,37054.93,34542.38,34542.38,7.27,YES,2,10
2026-04-27,000941.SH,新能源,2886.96,2770.06,2770.06,4.22,YES,3,11
2026-04-27,399998.SZ,中证煤炭,2409.69,2330.01,2330.01,3.42,YES,4,3
2026-04-27,000813.SH,细分化工,4298.35,4158.99,4158.99,3.35,YES,5,14
2026-04-27,801750.SI,通信,5170.97,5029.1,5029.1,2.82,YES,6,12
2026-04-27,931775.SH,房地产,2754.46,2724.69,2724.69,1.09,YES,7,10
2026-04-27,801738.SI,电网设备,6667.48,6617.58,6617.58,0.75,YES,8,9
2026-04-27,000922.SH,中证红利,5763.87,5724.56,5724.56,0.69,YES,9,5
2026-04-27,399975.SZ,证券公司,743.0,741.75,741.75,0.17,YES,10,12
2026-04-27,399989.SZ,中证医疗,6635.82,6673.4,6673.4,-0.56,NO,11,1
2026-04-27,801735.SI,光伏设备,6831.92,6872.08,6872.08,-0.58,NO,12,1
2026-04-27,931787.SH,港股创新药,1334.46,1372.9,1372.9,-2.8,NO,13,3
2026-04-27,SOXX,费城半导体,455.41,389.51,389.51,16.92,YES,1,15
2026-04-27,COMP,纳斯达克,8.09,7.41,7.41,9.19,YES,2,7
2026-04-27,UUP,美元指数,27.45,27.54,27.54,-0.33,NO,3,14
2026-04-27,SGE-AU,黄金,1021.57,1041.47,1041.47,-1.91,NO,4,3
2026-04-27,SGE-AG,白银,18001.0,18760.35,18760.35,-4.05,NO,5,3
